	prop.value	propLabel.value
52	http://www.wikidata.org/entity/P91	sexual orientation
53	http://www.wikidata.org/entity/P66	ancestral home
54	http://www.wikidata.org/entity/P156	followed by
55	http://www.wikidata.org/entity/P117	chemical structure
56	http://www.wikidata.org/entity/P85	anthem
57	http://www.wikidata.org/entity/P101	field of work
58	http://www.wikidata.org/entity/P137	operator
59	http://www.wikidata.org/entity/P15	route map
60	http://www.wikidata.org/entity/P26	spouse
61	http://www.wikidata.org/entity/P94	coat of arms image
62	http://www.wikidata.org/entity/P103	native language
63	http://www.wikidata.org/entity/P122	basic form of government
64	http://www.wikidata.org/entity/P138	named after
65	http://www.wikidata.org/entity/P141	IUCN conservation status
66	http://www.wikidata.org/entity/P161	cast member
67	http://www.wikidata.org/entity/P127	owned by
68	http://www.wikidata.org/entity/P69	educated at
69	http://www.wikidata.org/entity/P14	traffic sign
70	http://www.wikidata.org/entity/P47	shares border with
71	http://www.wikidata.org/entity/P154	logo image
72	http://www.wikidata.org/entity/P158	seal image
73	http://www.wikidata.org/entity/P35	head of state
74	http://www.wikidata.org/entity/P31	instance of
75	http://www.wikidata.org/entity/P81	connecting line
76	http://www.wikidata.org/entity/P54	member of sports team
77	http://www.wikidata.org/entity/P92	main regulatory text
78	http://www.wikidata.org/entity/P105	taxon rank
79	http://www.wikidata.org/entity/P121	item operated
80	http://www.wikidata.org/entity/P143	imported from Wikimedia project
81	http://www.wikidata.org/entity/P155	follows
82	http://www.wikidata.org/entity/P144	based on
83	http://www.wikidata.org/entity/P30	continent
84	http://www.wikidata.org/entity/P6	head of government
85	http://www.wikidata.org/entity/P129	physically interacts with
86	http://www.wikidata.org/entity/P157	killed by
87	http://www.wikidata.org/entity/P20	place of death
88	http://www.wikidata.org/entity/P27	country of citizenship
89	http://www.wikidata.org/entity/P61	discoverer or inventor
90	http://www.wikidata.org/entity/P115	home venue
91	http://www.wikidata.org/entity/P128	regulates (molecular biology)
92	http://www.wikidata.org/entity/P167	structure replaced by
93	http://www.wikidata.org/entity/P177	crosses
94	http://www.wikidata.org/entity/P113	airline hub
95	http://www.wikidata.org/entity/P41	flag image
96	http://www.wikidata.org/entity/P112	founded by
97	http://www.wikidata.org/entity/P126	maintained by
98	http://www.wikidata.org/entity/P150	contains administrative territorial entity
99	http://www.wikidata.org/entity/P159	headquarters location
100	http://www.wikidata.org/entity/P264	record label
101	http://www.wikidata.org/entity/P277	programming language
102	http://www.wikidata.org/entity/P212	ISBN-13
103	http://www.wikidata.org/entity/P237	coat of arms
104	http://www.wikidata.org/entity/P246	element symbol
105	http://www.wikidata.org/entity/P236	ISSN
106	http://www.wikidata.org/entity/P234	InChI
107	http://www.wikidata.org/entity/P238	IATA airport code
108	http://www.wikidata.org/entity/P306	operating system
109	http://www.wikidata.org/entity/P358	discography
110	http://www.wikidata.org/entity/P195	collection
111	http://www.wikidata.org/entity/P184	doctoral advisor
112	http://www.wikidata.org/entity/P282	writing system
113	http://www.wikidata.org/entity/P298	ISO 3166-1 alpha-3 code
114	http://www.wikidata.org/entity/P217	inventory number
115	http://www.wikidata.org/entity/P183	endemic to
116	http://www.wikidata.org/entity/P263	official residence
117	http://www.wikidata.org/entity/P200	inflows
118	http://www.wikidata.org/entity/P220	ISO 639-3 code
119	http://www.wikidata.org/entity/P230	ICAO airline designator
120	http://www.wikidata.org/entity/P225	taxon name
121	http://www.wikidata.org/entity/P194	legislative body
122	http://www.wikidata.org/entity/P272	production company
123	http://www.wikidata.org/entity/P305	IETF language tag
124	http://www.wikidata.org/entity/P348	software version identifier
125	http://www.wikidata.org/entity/P355	subsidiary
126	http://www.wikidata.org/entity/P344	director of photography
127	http://www.wikidata.org/entity/P356	DOI
128	http://www.wikidata.org/entity/P276	location
129	http://www.wikidata.org/entity/P300	ISO 3166-2 code
130	http://www.wikidata.org/entity/P213	ISNI
131	http://www.wikidata.org/entity/P181	taxon range map image
132	http://www.wikidata.org/entity/P197	adjacent station
133	http://www.wikidata.org/entity/P269	IdRef ID
134	http://www.wikidata.org/entity/P229	IATA airline designator
135	http://www.wikidata.org/entity/P240	FAA airport code
136	http://www.wikidata.org/entity/P244	Library of Congress authority ID
137	http://www.wikidata.org/entity/P241	military branch
138	http://www.wikidata.org/entity/P247	COSPAR ID
139	http://www.wikidata.org/entity/P281	postal code
140	http://www.wikidata.org/entity/P286	head coach
141	http://www.wikidata.org/entity/P347	Joconde work ID
142	http://www.wikidata.org/entity/P227	GND ID
143	http://www.wikidata.org/entity/P215	spectral class
144	http://www.wikidata.org/entity/P270	CALIS ID
145	http://www.wikidata.org/entity/P205	basin country
146	http://www.wikidata.org/entity/P221	ISO 639-6 code
147	http://www.wikidata.org/entity/P245	Union List of Artist Names ID
148	http://www.wikidata.org/entity/P274	chemical formula
149	http://www.wikidata.org/entity/P275	copyright license
150	http://www.wikidata.org/entity/P289	vessel class
151	http://www.wikidata.org/entity/P297	ISO 3166-1 alpha-2 code
152	http://www.wikidata.org/entity/P249	ticker symbol
153	http://www.wikidata.org/entity/P185	doctoral student
154	http://www.wikidata.org/entity/P190	twinned administrative body
155	http://www.wikidata.org/entity/P268	Bibliothèque nationale de France ID
156	http://www.wikidata.org/entity/P233	canonical SMILES
157	http://www.wikidata.org/entity/P279	subclass of
158	http://www.wikidata.org/entity/P287	designed by
159	http://www.wikidata.org/entity/P291	place of publication
160	http://www.wikidata.org/entity/P299	ISO 3166-1 numeric code
161	http://www.wikidata.org/entity/P303	EE breed number
162	http://www.wikidata.org/entity/P349	National Diet Library ID
163	http://www.wikidata.org/entity/P353	HGNC gene symbol
164	http://www.wikidata.org/entity/P352	UniProt protein ID
165	http://www.wikidata.org/entity/P359	Rijksmonument ID
166	http://www.wikidata.org/entity/P210	party chief representative
167	http://www.wikidata.org/entity/P235	InChIKey
168	http://www.wikidata.org/entity/P189	location of discovery
169	http://www.wikidata.org/entity/P193	main building contractor
170	http://www.wikidata.org/entity/P206	located in or next to body of water
171	http://www.wikidata.org/entity/P208	executive body
172	http://www.wikidata.org/entity/P231	CAS Registry Number
173	http://www.wikidata.org/entity/P248	stated in
174	http://www.wikidata.org/entity/P301	category's main topic
175	http://www.wikidata.org/entity/P350	RKDimages ID
176	http://www.wikidata.org/entity/P351	Entrez Gene ID
177	http://www.wikidata.org/entity/P214	VIAF ID
178	http://www.wikidata.org/entity/P345	IMDb ID
179	http://www.wikidata.org/entity/P232	EC number
180	http://www.wikidata.org/entity/P199	business division
181	http://www.wikidata.org/entity/P196	minor planet group
182	http://www.wikidata.org/entity/P180	depicts
183	http://www.wikidata.org/entity/P186	made from material
184	http://www.wikidata.org/entity/P201	lake outflow
185	http://www.wikidata.org/entity/P218	ISO 639-1 code
186	http://www.wikidata.org/entity/P239	ICAO airport code
187	http://www.wikidata.org/entity/P243	OCLC control number
188	http://www.wikidata.org/entity/P278	GOST 7.75–97 code
189	http://www.wikidata.org/entity/P304	page(s)
190	http://www.wikidata.org/entity/P271	CiNii author ID (books)
191	http://www.wikidata.org/entity/P223	galaxy morphological type
192	http://www.wikidata.org/entity/P242	locator map image
193	http://www.wikidata.org/entity/P296	station code
194	http://www.wikidata.org/entity/P354	HGNC ID
195	http://www.wikidata.org/entity/P179	part of the series
196	http://www.wikidata.org/entity/P267	ATC code
197	http://www.wikidata.org/entity/P207	bathymetry image
198	http://www.wikidata.org/entity/P209	highest judicial authority
199	http://www.wikidata.org/entity/P219	ISO 639-2 code
200	http://www.wikidata.org/entity/P462	color
201	http://www.wikidata.org/entity/P466	occupant
202	http://www.wikidata.org/entity/P479	input method
203	http://www.wikidata.org/entity/P488	chairperson
204	http://www.wikidata.org/entity/P410	military rank
205	http://www.wikidata.org/entity/P412	voice type
206	http://www.wikidata.org/entity/P487	Unicode character
207	http://www.wikidata.org/entity/P400	platform
208	http://www.wikidata.org/entity/P478	volume
209	http://www.wikidata.org/entity/P452	industry
210	http://www.wikidata.org/entity/P474	country calling code
211	http://www.wikidata.org/entity/P453	character role
212	http://www.wikidata.org/entity/P366	use
213	http://www.wikidata.org/entity/P463	member of
214	http://www.wikidata.org/entity/P415	radio format
215	http://www.wikidata.org/entity/P371	presenter
216	http://www.wikidata.org/entity/P375	space launch vehicle
217	http://www.wikidata.org/entity/P407	language of work or name
218	http://www.wikidata.org/entity/P421	located in time zone
219	http://www.wikidata.org/entity/P428	botanist author abbreviation
220	http://www.wikidata.org/entity/P443	pronunciation audio
221	http://www.wikidata.org/entity/P449	original broadcaster
222	http://www.wikidata.org/entity/P461	opposite of
223	http://www.wikidata.org/entity/P467	legislated by
224	http://www.wikidata.org/entity/P382	CBS municipality code
225	http://www.wikidata.org/entity/P373	Commons category
226	http://www.wikidata.org/entity/P433	issue
227	http://www.wikidata.org/entity/P377	SCN
228	http://www.wikidata.org/entity/P404	game mode
229	http://www.wikidata.org/entity/P464	NOR
230	http://www.wikidata.org/entity/P414	stock exchange
231	http://www.wikidata.org/entity/P367	astronomic symbol image
232	http://www.wikidata.org/entity/P374	INSEE municipality code
233	http://www.wikidata.org/entity/P426	aircraft registration
234	http://www.wikidata.org/entity/P427	taxonomic type
235	http://www.wikidata.org/entity/P455	Emporis building ID
236	http://www.wikidata.org/entity/P451	unmarried partner
237	http://www.wikidata.org/entity/P457	foundational text
238	http://www.wikidata.org/entity/P470	Eight Banner register
239	http://www.wikidata.org/entity/P485	archives at
240	http://www.wikidata.org/entity/P473	local dialing code
241	http://www.wikidata.org/entity/P408	software engine
242	http://www.wikidata.org/entity/P417	patron saint
243	http://www.wikidata.org/entity/P397	parent astronomical body
244	http://www.wikidata.org/entity/P411	canonization status
245	http://www.wikidata.org/entity/P429	dantai code
246	http://www.wikidata.org/entity/P437	distribution format
247	http://www.wikidata.org/entity/P439	German municipality key
248	http://www.wikidata.org/entity/P459	determination method
249	http://www.wikidata.org/entity/P481	Palissy ID
250	http://www.wikidata.org/entity/P486	MeSH descriptor ID
251	http://www.wikidata.org/entity/P490	provisional designation
252	http://www.wikidata.org/entity/P370	Sandbox-String
253	http://www.wikidata.org/entity/P376	located on astronomical body
254	http://www.wikidata.org/entity/P381	PCP reference number
255	http://www.wikidata.org/entity/P395	licence plate code
256	http://www.wikidata.org/entity/P398	child astronomical body
257	http://www.wikidata.org/entity/P399	companion of
258	http://www.wikidata.org/entity/P413	position played on team
259	http://www.wikidata.org/entity/P444	review score
260	http://www.wikidata.org/entity/P460	said to be the same as
261	http://www.wikidata.org/entity/P364	original language of film or TV show
262	http://www.wikidata.org/entity/P368	Sandbox-CommonsMediaFile
263	http://www.wikidata.org/entity/P409	Libraries Australia ID
264	http://www.wikidata.org/entity/P434	MusicBrainz artist ID
265	http://www.wikidata.org/entity/P436	MusicBrainz release group ID
266	http://www.wikidata.org/entity/P458	IMO ship number
267	http://www.wikidata.org/entity/P491	orbit diagram
268	http://www.wikidata.org/entity/P361	part of
269	http://www.wikidata.org/entity/P393	edition number
270	http://www.wikidata.org/entity/P450	astronaut mission
271	http://www.wikidata.org/entity/P454	Structurae structure ID
272	http://www.wikidata.org/entity/P465	sRGB color hex triplet
273	http://www.wikidata.org/entity/P484	IMA Number, broad sense
274	http://www.wikidata.org/entity/P360	is a list of
275	http://www.wikidata.org/entity/P369	Sandbox-Item
276	http://www.wikidata.org/entity/P416	quantity symbol (string)
277	http://www.wikidata.org/entity/P424	Wikimedia language code
278	http://www.wikidata.org/entity/P435	MusicBrainz work ID
279	http://www.wikidata.org/entity/P442	China administrative division code
280	http://www.wikidata.org/entity/P447	review score by
281	http://www.wikidata.org/entity/P476	CELEX number
282	http://www.wikidata.org/entity/P480	FilmAffinity ID
283	http://www.wikidata.org/entity/P483	recorded at studio or venue
284	http://www.wikidata.org/entity/P489	currency symbol description
285	http://www.wikidata.org/entity/P492	OMIM ID
286	http://www.wikidata.org/entity/P380	Mérimée ID
287	http://www.wikidata.org/entity/P403	mouth of the watercourse
288	http://www.wikidata.org/entity/P402	OpenStreetMap relation ID
289	http://www.wikidata.org/entity/P396	SBN author ID
290	http://www.wikidata.org/entity/P405	taxon author
291	http://www.wikidata.org/entity/P406	soundtrack release
292	http://www.wikidata.org/entity/P418	seal description
293	http://www.wikidata.org/entity/P423	shooting handedness
294	http://www.wikidata.org/entity/P425	field of this occupation
295	http://www.wikidata.org/entity/P432	callsign of airline
296	http://www.wikidata.org/entity/P440	German district key
297	http://www.wikidata.org/entity/P468	dan/kyu rank
298	http://www.wikidata.org/entity/P469	lakes on river
299	http://www.wikidata.org/entity/P477	Canadian Register of Historic Places ID
300	http://www.wikidata.org/entity/P611	religious order
301	http://www.wikidata.org/entity/P678	incertae sedis
302	http://www.wikidata.org/entity/P708	diocese
303	http://www.wikidata.org/entity/P707	satellite bus
304	http://www.wikidata.org/entity/P655	translator
305	http://www.wikidata.org/entity/P641	sport
306	http://www.wikidata.org/entity/P636	route of administration
307	http://www.wikidata.org/entity/P682	biological process
308	http://www.wikidata.org/entity/P631	structural engineer
309	http://www.wikidata.org/entity/P660	EC enzyme classification
310	http://www.wikidata.org/entity/P665	KEGG ID
311	http://www.wikidata.org/entity/P669	located on street
312	http://www.wikidata.org/entity/P664	organizer
313	http://www.wikidata.org/entity/P710	participant
314	http://www.wikidata.org/entity/P646	Freebase ID
315	http://www.wikidata.org/entity/P642	of
316	http://www.wikidata.org/entity/P634	captain
317	http://www.wikidata.org/entity/P618	source of energy
318	http://www.wikidata.org/entity/P610	highest point
319	http://www.wikidata.org/entity/P624	guidance system
320	http://www.wikidata.org/entity/P647	drafted by
321	http://www.wikidata.org/entity/P649	NRHP reference number
322	http://www.wikidata.org/entity/P650	RKDartists ID
323	http://www.wikidata.org/entity/P652	UNII
324	http://www.wikidata.org/entity/P674	characters
325	http://www.wikidata.org/entity/P668	GeneReviews ID
326	http://www.wikidata.org/entity/P676	lyrics by
327	http://www.wikidata.org/entity/P658	tracklist
328	http://www.wikidata.org/entity/P670	street number
329	http://www.wikidata.org/entity/P683	ChEBI ID
330	http://www.wikidata.org/entity/P689	afflicts
331	http://www.wikidata.org/entity/P714	Dana 8th edition
332	http://www.wikidata.org/entity/P680	molecular function
333	http://www.wikidata.org/entity/P625	coordinate location
334	http://www.wikidata.org/entity/P627	IUCN taxon ID
335	http://www.wikidata.org/entity/P612	mother house
336	http://www.wikidata.org/entity/P632	cultural properties of Belarus reference number
337	http://www.wikidata.org/entity/P629	edition or translation of
338	http://www.wikidata.org/entity/P638	PDB structure ID
339	http://www.wikidata.org/entity/P671	Mouse Genome Informatics ID
340	http://www.wikidata.org/entity/P697	ex taxon author
341	http://www.wikidata.org/entity/P700	Kemler code
342	http://www.wikidata.org/entity/P711	Strunz 8th edition (series ID, updated)
343	http://www.wikidata.org/entity/P628	E number
344	http://www.wikidata.org/entity/P656	RefSeq
345	http://www.wikidata.org/entity/P620	time of spacecraft landing
346	http://www.wikidata.org/entity/P654	direction relative to location
347	http://www.wikidata.org/entity/P637	RefSeq protein ID
348	http://www.wikidata.org/entity/P639	RefSeq RNA ID
349	http://www.wikidata.org/entity/P659	genomic assembly
350	http://www.wikidata.org/entity/P672	MeSH tree code
351	http://www.wikidata.org/entity/P687	BHL Page ID
352	http://www.wikidata.org/entity/P691	NKCR AUT ID
353	http://www.wikidata.org/entity/P701	Dodis ID
354	http://www.wikidata.org/entity/P705	Ensembl protein ID
355	http://www.wikidata.org/entity/P715	DrugBank ID
356	http://www.wikidata.org/entity/P617	yard number
357	http://www.wikidata.org/entity/P695	UN number
358	http://www.wikidata.org/entity/P693	cleavage
359	http://www.wikidata.org/entity/P635	ISTAT ID
360	http://www.wikidata.org/entity/P645	genomic end
361	http://www.wikidata.org/entity/P661	ChemSpider ID
362	http://www.wikidata.org/entity/P662	PubChem CID
363	http://www.wikidata.org/entity/P673	eMedicine ID
364	http://www.wikidata.org/entity/P675	Google Books ID
365	http://www.wikidata.org/entity/P679	ZVG number
366	http://www.wikidata.org/entity/P694	replaced synonym (for nom. nov.)
367	http://www.wikidata.org/entity/P704	Ensembl transcript ID
368	http://www.wikidata.org/entity/P712	Nickel-Strunz 9th edition (updated 2009)
369	http://www.wikidata.org/entity/P690	space group
370	http://www.wikidata.org/entity/P698	PubMed ID
371	http://www.wikidata.org/entity/P613	OS grid reference
372	http://www.wikidata.org/entity/P663	DSM-IV classification
373	http://www.wikidata.org/entity/P677	ÚSOP code
374	http://www.wikidata.org/entity/P686	Gene Ontology ID
375	http://www.wikidata.org/entity/P688	encodes
376	http://www.wikidata.org/entity/P699	Disease Ontology ID
377	http://www.wikidata.org/entity/P709	Historic Scotland ID
378	http://www.wikidata.org/entity/P653	PubMed Health
379	http://www.wikidata.org/entity/P626	Sandbox-GeoCoordinateValue
380	http://www.wikidata.org/entity/P651	Biografisch Portaal van Nederland ID
381	http://www.wikidata.org/entity/P640	Léonore ID
382	http://www.wikidata.org/entity/P633	Quebec cultural heritage directory ID
383	http://www.wikidata.org/entity/P667	ICPC 2 ID
384	http://www.wikidata.org/entity/P685	NCBI taxonomy ID
385	http://www.wikidata.org/entity/P696	Interlex ID
386	http://www.wikidata.org/entity/P703	found in taxon
387	http://www.wikidata.org/entity/P630	Paris city digital code
388	http://www.wikidata.org/entity/P622	spacecraft docking/undocking date
389	http://www.wikidata.org/entity/P619	UTC date of spacecraft launch
390	http://www.wikidata.org/entity/P621	time of spacecraft orbit decay
391	http://www.wikidata.org/entity/P644	genomic start
392	http://www.wikidata.org/entity/P648	Open Library ID
393	http://www.wikidata.org/entity/P657	RTECS number
394	http://www.wikidata.org/entity/P681	cell component
395	http://www.wikidata.org/entity/P684	ortholog
396	http://www.wikidata.org/entity/P692	Gene Atlas Image
397	http://www.wikidata.org/entity/P702	encoded by
398	http://www.wikidata.org/entity/P706	located on terrain feature
399	http://www.wikidata.org/entity/P713	Nickel-Strunz '10th ed', review of (9th ed/ 2009 update)
400	http://www.wikidata.org/entity/P933	Heritage NL ID
401	http://www.wikidata.org/entity/P880	CPU
402	http://www.wikidata.org/entity/P881	type of variable star
403	http://www.wikidata.org/entity/P922	magnetic ordering
404	http://www.wikidata.org/entity/P927	anatomical location
405	http://www.wikidata.org/entity/P870	instrumentation
406	http://www.wikidata.org/entity/P937	work location
407	http://www.wikidata.org/entity/P915	filming location
408	http://www.wikidata.org/entity/P945	allegiance
409	http://www.wikidata.org/entity/P841	feast day
410	http://www.wikidata.org/entity/P913	notation
411	http://www.wikidata.org/entity/P830	Encyclopedia of Life ID
412	http://www.wikidata.org/entity/P886	Lexicon istoric retic ID
413	http://www.wikidata.org/entity/P938	FishBase species ID
414	http://www.wikidata.org/entity/P935	Commons gallery
415	http://www.wikidata.org/entity/P943	programmer
416	http://www.wikidata.org/entity/P946	ISIN
417	http://www.wikidata.org/entity/P929	color space
418	http://www.wikidata.org/entity/P885	origin of the watercourse
419	http://www.wikidata.org/entity/P836	GSS code (2011)
420	http://www.wikidata.org/entity/P832	public holiday
421	http://www.wikidata.org/entity/P834	train depot
422	http://www.wikidata.org/entity/P853	CERO rating
423	http://www.wikidata.org/entity/P846	GBIF taxon ID
424	http://www.wikidata.org/entity/P843	SIRUTA code
425	http://www.wikidata.org/entity/P864	ACM Digital Library author ID
426	http://www.wikidata.org/entity/P868	foods traditionally associated
427	http://www.wikidata.org/entity/P901	FIPS 10-4 (countries and regions)
428	http://www.wikidata.org/entity/P944	Code of nomenclature
429	http://www.wikidata.org/entity/P908	PEGI rating
430	http://www.wikidata.org/entity/P905	PORT film ID
431	http://www.wikidata.org/entity/P884	State Water Register Code (Russia)
432	http://www.wikidata.org/entity/P911	South African municipality code
433	http://www.wikidata.org/entity/P947	RSL ID (person)
434	http://www.wikidata.org/entity/P942	theme music
435	http://www.wikidata.org/entity/P859	sponsor
436	http://www.wikidata.org/entity/P835	author citation (zoology)
437	http://www.wikidata.org/entity/P831	parent club
438	http://www.wikidata.org/entity/P858	ESPNscrum player ID
439	http://www.wikidata.org/entity/P917	GRAU index
440	http://www.wikidata.org/entity/P856	official website
441	http://www.wikidata.org/entity/P889	Mathematical Reviews ID
442	http://www.wikidata.org/entity/P873	phase point
443	http://www.wikidata.org/entity/P939	KSH code
444	http://www.wikidata.org/entity/P855	Sandbox-URL
445	http://www.wikidata.org/entity/P872	printed by
446	http://www.wikidata.org/entity/P918	NOC Occupation Code
447	http://www.wikidata.org/entity/P924	possible treatment
448	http://www.wikidata.org/entity/P926	postsynaptic connection
449	http://www.wikidata.org/entity/P932	PMCID
450	http://www.wikidata.org/entity/P875	UN code classification
451	http://www.wikidata.org/entity/P894	zbMATH work ID
452	http://www.wikidata.org/entity/P888	JSTOR article ID
453	http://www.wikidata.org/entity/P837	day in year for periodic occurrence
454	http://www.wikidata.org/entity/P842	Fossilworks taxon ID
455	http://www.wikidata.org/entity/P845	Saskatchewan Register of Heritage Property ID
456	http://www.wikidata.org/entity/P887	based on heuristic
457	http://www.wikidata.org/entity/P860	e-archiv.li ID
458	http://www.wikidata.org/entity/P866	Perlentaucher ID
459	http://www.wikidata.org/entity/P861	PremiershipRugby.com ID
460	http://www.wikidata.org/entity/P879	pennant number
461	http://www.wikidata.org/entity/P874	UN class
462	http://www.wikidata.org/entity/P876	UN packaging group
463	http://www.wikidata.org/entity/P897	United States Army and Air Force aircraft designation
464	http://www.wikidata.org/entity/P910	topic's main category
465	http://www.wikidata.org/entity/P833	interchange station
466	http://www.wikidata.org/entity/P882	FIPS 6-4 (US counties)
467	http://www.wikidata.org/entity/P902	HDS ID
468	http://www.wikidata.org/entity/P916	GSRR rating
469	http://www.wikidata.org/entity/P892	RfC ID
470	http://www.wikidata.org/entity/P893	SSRN article ID
471	http://www.wikidata.org/entity/P919	SOC Code (2010)
472	http://www.wikidata.org/entity/P941	inspired by
473	http://www.wikidata.org/entity/P878	avionics
474	http://www.wikidata.org/entity/P844	UBIGEO code
475	http://www.wikidata.org/entity/P865	BMLO ID
476	http://www.wikidata.org/entity/P849	Japanese military aircraft designation
477	http://www.wikidata.org/entity/P867	ROME Occupation Code (v3)
478	http://www.wikidata.org/entity/P850	WoRMS-ID for taxa
479	http://www.wikidata.org/entity/P912	has facility
480	http://www.wikidata.org/entity/P920	LEM ID
481	http://www.wikidata.org/entity/P923	medical examinations
482	http://www.wikidata.org/entity/P906	SELIBR ID
483	http://www.wikidata.org/entity/P931	place served by transport hub
484	http://www.wikidata.org/entity/P914	USK rating
485	http://www.wikidata.org/entity/P930	type of electrification
486	http://www.wikidata.org/entity/P840	narrative location
487	http://www.wikidata.org/entity/P847	United States Navy aircraft designation
488	http://www.wikidata.org/entity/P852	ESRB rating
489	http://www.wikidata.org/entity/P898	IPA transcription
490	http://www.wikidata.org/entity/P877	NFPA Special
491	http://www.wikidata.org/entity/P862	Operational Requirement of the UK Air Ministry
492	http://www.wikidata.org/entity/P921	main subject
493	http://www.wikidata.org/entity/P838	BioLib taxon ID
494	http://www.wikidata.org/entity/P839	IMSLP ID
495	http://www.wikidata.org/entity/P854	reference URL
496	http://www.wikidata.org/entity/P928	activating neurotransmitter
497	http://www.wikidata.org/entity/P863	InPhO ID
498	http://www.wikidata.org/entity/P909	Nova Scotia Register of Historic Places ID
499	http://www.wikidata.org/entity/P925	presynaptic connection
500	http://www.wikidata.org/entity/P734	family name
501	http://www.wikidata.org/entity/P739	ammunition
502	http://www.wikidata.org/entity/P735	given name
503	http://www.wikidata.org/entity/P826	tonality
504	http://www.wikidata.org/entity/P782	LAU
505	http://www.wikidata.org/entity/P817	decay mode
506	http://www.wikidata.org/entity/P823	speaker
507	http://www.wikidata.org/entity/P742	pseudonym
508	http://www.wikidata.org/entity/P792	chapter
509	http://www.wikidata.org/entity/P744	asteroid family
510	http://www.wikidata.org/entity/P768	electoral district
511	http://www.wikidata.org/entity/P791	ISIL
512	http://www.wikidata.org/entity/P725	voice actor
513	http://www.wikidata.org/entity/P811	academic minor
514	http://www.wikidata.org/entity/P822	mascot
515	http://www.wikidata.org/entity/P737	influenced by
516	http://www.wikidata.org/entity/P733	DINOloket
517	http://www.wikidata.org/entity/P716	JPL Small-Body Database ID
518	http://www.wikidata.org/entity/P750	distributed by
519	http://www.wikidata.org/entity/P740	location of formation
520	http://www.wikidata.org/entity/P769	significant drug interaction
521	http://www.wikidata.org/entity/P779	Church of Sweden Pastoratskod
522	http://www.wikidata.org/entity/P785	hymenium attachment
523	http://www.wikidata.org/entity/P784	mushroom cap shape
524	http://www.wikidata.org/entity/P788	mushroom ecological type
525	http://www.wikidata.org/entity/P777	Swedish civil parish code/ATA code
526	http://www.wikidata.org/entity/P786	stipe character
527	http://www.wikidata.org/entity/P797	authority
528	http://www.wikidata.org/entity/P807	separated from
529	http://www.wikidata.org/entity/P802	student
530	http://www.wikidata.org/entity/P793	significant event
531	http://www.wikidata.org/entity/P770	cause of destruction
532	http://www.wikidata.org/entity/P787	spore print color
533	http://www.wikidata.org/entity/P803	professorship
534	http://www.wikidata.org/entity/P720	asteroid spectral type
535	http://www.wikidata.org/entity/P812	academic major
536	http://www.wikidata.org/entity/P732	BGS Lexicon of Named Rock Units ID
537	http://www.wikidata.org/entity/P731	Litholex ID
538	http://www.wikidata.org/entity/P757	World Heritage Site ID
539	http://www.wikidata.org/entity/P762	Czech cultural heritage ID
540	http://www.wikidata.org/entity/P767	contributor to the creative work or subject
541	http://www.wikidata.org/entity/P763	PEI Register of Historic Places ID
